 2013 12  4  3 26    2.453651  2  5           0.000     0.187           0.000    -2970507.941           0.000       -0.003    -0.176   -17.170
 2013 12  4  3 26   27.453628  2  5           0.000     0.195           0.000    -2972227.640           0.000        0.035    -0.177   -17.013
 2013 12  4  3 26   42.453614  2  5           0.000     0.213           0.000    -2973256.174           0.000        0.052    -0.177   -16.919
 2013 12  4  3 27    7.453590  2  5           0.000     0.204           0.000    -2974964.949           0.000        0.041    -0.178   -16.764
 2013 12  4  3 27   12.453585  2  5           0.000     0.215           0.000    -2975305.839           0.000        0.078    -0.178   -16.733
 2013 12  4  3 27   17.453581  2  5           0.000     0.215           0.000    -2975646.472           0.000        0.099    -0.178   -16.703
 2013 12  4  3 27   37.453562  2  5           0.000     0.262           0.000    -2977006.266           0.000        0.173    -0.179   -16.582
 2013 12  4  3 27   42.453557  2  5           0.000     0.259           0.000    -2977345.485           0.000        0.233    -0.179   -16.552
 2013 12  4  3 27   47.453552  2  5           0.000     0.235           0.000    -2977684.432           0.000        0.291    -0.179   -16.521
 2013 12  4  3 27   57.453543  2  5           0.000     0.234           0.000    -2978361.549           0.000        0.359    -0.179   -16.461
 2013 12  4  3 28    7.453534  2  5           0.000     0.210           0.000    -2979037.647           0.000        0.342    -0.179   -16.402
 2013 12  4  3 28   32.453510  2  5           0.000     0.212           0.000    -2980723.185           0.000        0.189    -0.180   -16.255
 2013 12  4  3 28   37.453506  2  5           0.000     0.206           0.000    -2981059.493           0.000        0.131    -0.180   -16.226
 2013 12  4  3 28   52.453491  2  5           0.000     0.197           0.000    -2982066.494           0.000        0.230    -0.181   -16.138
 2013 12  4  3 28   57.453487  2  5           0.000     0.203           0.000    -2982401.758           0.000        0.115    -0.181   -16.109
 2013 12  4  3 29    2.453482  2  5           0.000     0.179           0.000    -2982736.441           0.000        0.304    -0.181   -16.080
 2013 12  4  3 29    7.453477  2  5           0.000     0.191           0.000    -2983071.172           0.000        0.170    -0.181   -16.052
 2013 12  4  3 29   12.453473  2  5           0.000     0.205           0.000    -2983405.509           0.000        0.154    -0.181   -16.024
 2013 12  4  3 29   22.453463  2  5           0.000     0.231           0.000    -2984073.343           0.000        0.134    -0.181   -15.967
 2013 12  4  3 29   27.453459  2  5           0.000     0.229           0.000    -2984406.772           0.000        0.199    -0.181   -15.939
 2013 12  4  3 29   32.453454  2  5           0.000     0.225           0.000    -2984740.069           0.000        0.118    -0.181   -15.911
 2013 12  4  3 29   37.453449  2  5           0.000     0.198           0.000    -2985072.983           0.000        0.145    -0.182   -15.883
 2013 12  4  3 29   42.453445  2  5          -0.029     0.213           0.000    -2985405.636    -2985405.664       -0.029    -0.000     0.000
 2013 12  4  3 29   47.453440  2  5           0.000     0.170           0.000    -2985738.018           0.000        0.161    -0.182   -15.826
 2013 12  4  3 29   52.453435  2  5           0.000     0.180           0.000    -2986070.058           0.000        0.232    -0.182   -15.798
 2013 12  4  3 29   57.453431  2  5           0.228     0.388           0.000    -2986401.995    -2986401.768        0.228    -0.000     0.000
 2013 12  4  3 30    2.453426  2  5          -0.372     0.248           0.000    -2986733.652    -2986734.024       -0.372    -0.000     0.000
 2013 12  4  3 30    7.453421  2  5           0.000     0.202           0.000    -2987064.878           0.000        0.082    -0.182   -15.714
 2013 12  4  3 30   12.453417  2  5           0.000     0.201           0.000    -2987395.908           0.000        0.054    -0.182   -15.687
 2013 12  4  3 30   17.453412  2  5          -0.360     0.217           0.000    -2987726.421    -2987726.782       -0.361    -0.000     0.000
 2013 12  4  3 30   22.453407  2  5           0.000     0.188           0.000    -2988056.987           0.000        0.148    -0.183   -15.632
 2013 12  4  3 30   27.453403  2  5          -0.401     0.193           0.000    -2988387.155    -2988387.557       -0.402    -0.000     0.000
 2013 12  4  3 30   32.453398  2  5           0.000     0.102           0.000    -2988717.050           0.000        0.153    -0.183   -15.577
 2013 12  4  3 30   42.453389  2  5           0.000     0.070           0.000    -2989376.170           0.000       -0.006    -0.183   -15.522
 2013 12  4  3 30   47.453384  2  5           0.000     0.152           0.000    -2989705.234           0.000       -0.003    -0.183   -15.494
 2013 12  4  3 30   52.453379  2  5           0.014     0.224           0.000    -2990033.976    -2990033.962        0.014    -0.000     0.000
 2013 12  4  3 30   57.453375  2  5           0.108     0.320           0.000    -2990362.716    -2990362.608        0.108    -0.000     0.000
 2013 12  4  3 31    2.453370  2  5          -0.159     0.256           0.000    -2990690.725    -2990690.884       -0.160    -0.000     0.000
 2013 12  4  3 31    7.453365  2  5           0.109     0.298           0.000    -2991018.762    -2991018.653        0.108    -0.000     0.000
 2013 12  4  3 31   12.453361  2  5           0.055     0.338           0.000    -2991346.409    -2991346.354        0.055    -0.000     0.000
 2013 12  4  3 31   17.453356  2  5           0.154     0.303           0.000    -2991673.773    -2991673.619        0.153    -0.000     0.000
 2013 12  4  3 31   22.453351  2  5           0.372     0.317           0.000    -2992000.994    -2992000.622        0.372    -0.000     0.000
 2013 12  4  3 31   27.453347  2  5           0.013     0.267           0.000    -2992327.753    -2992327.740        0.013    -0.000     0.000
 2013 12  4  3 31   32.453342  2  5           0.177     0.265           0.000    -2992654.396    -2992654.220        0.176    -0.000     0.000
 2013 12  4  3 31   37.453337  2  5          -0.006     0.264           0.000    -2992980.643    -2992980.649       -0.006    -0.000     0.000
 2013 12  4  3 31   42.453333  2  5          -0.213     0.254           0.000    -2993306.653    -2993306.865       -0.213    -0.000     0.000
 2013 12  4  3 31   47.453328  2  5          -0.177     0.269           0.000    -2993632.470    -2993632.648       -0.178    -0.000     0.000
 2013 12  4  3 31   52.453324  2  5          -0.157     0.281           0.000    -2993957.845    -2993958.002       -0.158    -0.000     0.000
 2013 12  4  3 31   57.453319  2  5          -0.127     0.253           0.000    -2994283.144    -2994283.271       -0.128    -0.000     0.000
 2013 12  4  3 32    2.453314  2  5          -0.036     0.256           0.000    -2994607.997    -2994608.033       -0.036    -0.000     0.000
 2013 12  4  3 32    7.453310  2  5          -0.197     0.246           0.000    -2994932.660    -2994932.857       -0.198    -0.000     0.000
 2013 12  4  3 32   12.453305  2  5          -0.247     0.261           0.000    -2995256.967    -2995257.214       -0.247    -0.000     0.000
 2013 12  4  3 32   17.453300  2  5          -0.316     0.259           0.000    -2995581.026    -2995581.342       -0.317    -0.000     0.000
 2013 12  4  3 32   22.453296  2  5          -0.364     0.292           0.000    -2995904.768    -2995905.132       -0.364    -0.000     0.000
 2013 12  4  3 32   27.453291  2  5          -0.354     0.252           0.000    -2996228.288    -2996228.642       -0.355    -0.000     0.000
 2013 12  4  3 32   32.453286  2  5          -0.330     0.260           0.000    -2996551.579    -2996551.909       -0.330    -0.000     0.000
 2013 12  4  3 32   37.453282  2  5          -0.321     0.250           0.000    -2996874.516    -2996874.837       -0.321    -0.000     0.000
 2013 12  4  3 32   42.453277  2  5          -0.410     0.252           0.000    -2997197.252    -2997197.661       -0.410    -0.000     0.000
 2013 12  4  3 32   47.453272  2  5          -0.376     0.239           0.000    -2997519.569    -2997519.945       -0.376    -0.000     0.000
 2013 12  4  3 32   52.453268  2  5          -0.299     0.235           0.000    -2997841.701    -2997842.000       -0.299    -0.000     0.000
 2013 12  4  3 32   57.453263  2  5          -0.381     0.225           0.000    -2998163.623    -2998164.004       -0.381    -0.000     0.000
 2013 12  4  3 33    2.453259  2  5          -0.469     0.202           0.000    -2998485.095    -2998485.564       -0.470    -0.000     0.000
 2013 12  4  3 33    7.453254  2  5          -0.353     0.223           0.000    -2998806.344    -2998806.696       -0.353    -0.000     0.000
 2013 12  4  3 33   12.453249  2  5          -0.370     0.218           0.000    -2999127.341    -2999127.711       -0.371    -0.000     0.000
 2013 12  4  3 33   17.453245  2  5          -0.366     0.240           0.000    -2999448.081    -2999448.447       -0.367    -0.000     0.000
 2013 12  4  3 33   22.453240  2  5          -0.330     0.210           0.000    -2999768.573    -2999768.903       -0.330    -0.000     0.000
 2013 12  4  3 33   27.453235  2  5          -0.490     0.214           0.000    -3000088.787    -3000089.277       -0.490    -0.000     0.000
 2013 12  4  3 33   32.453231  2  5          -0.447     0.203           0.000    -3000408.649    -3000409.096       -0.447    -0.000     0.000
 2013 12  4  3 33   37.453226  2  5          -0.489     0.175           0.000    -3000728.276    -3000728.764       -0.489    -0.000     0.000
 2013 12  4  3 33   42.453222  2  5          -0.242     0.185           0.000    -3001047.765    -3001048.007       -0.243    -0.000     0.000
 2013 12  4  3 33   47.453217  2  5          -0.235     0.180           0.000    -3001366.828    -3001367.063       -0.235    -0.000     0.000
 2013 12  4  3 33   52.453212  2  5           0.000     0.069           0.000           0.000    -3001685.850       -0.137    -0.187   -14.537
 2013 12  4  3 33   57.453208  2  5           0.000     0.077           0.000           0.000    -3002004.443       -0.215    -0.187   -14.512
 2013 12  4  3 34    2.453203  2  5           0.000     0.094           0.000           0.000    -3002322.696       -0.234    -0.188   -14.487
 2013 12  4  3 34    7.453199  2  5           0.000     0.107           0.000           0.000    -3002640.633       -0.215    -0.188   -14.463
 2013 12  4  3 34   12.453194  2  5          -0.309     0.211           0.000    -3002957.956    -3002958.265       -0.310    -0.000     0.000
 2013 12  4  3 34   17.453189  2  5          -0.171     0.227           0.000    -3003275.523    -3003275.695       -0.172    -0.000     0.000
 2013 12  4  3 34   22.453185  2  5          -0.203     0.215           0.000    -3003592.610    -3003592.813       -0.204    -0.000     0.000
 2013 12  4  3 34   27.453180  2  5          -0.164     0.246           0.000    -3003909.492    -3003909.655       -0.164    -0.000     0.000
 2013 12  4  3 34   32.453175  2  5          -0.247     0.273           0.000    -3004226.090    -3004226.337       -0.247    -0.000     0.000
 2013 12  4  3 34   37.453171  2  5          -0.349     0.230           0.000    -3004542.223    -3004542.572       -0.349    -0.000     0.000
 2013 12  4  3 34   42.453166  2  5          -0.233     0.265           0.000    -3004858.254    -3004858.487       -0.234    -0.000     0.000
 2013 12  4  3 34   47.453162  2  5          -0.377     0.272           0.000    -3005173.831    -3005174.207       -0.377    -0.000     0.000
 2013 12  4  3 34   52.453157  2  5          -0.358     0.266           0.000    -3005489.376    -3005489.735       -0.359    -0.000     0.000
 2013 12  4  3 34   57.453152  2  5          -0.264     0.254           0.000    -3005804.568    -3005804.832       -0.265    -0.000     0.000
 2013 12  4  3 35    2.453148  2  5           0.159     0.282           0.000    -3006119.601    -3006119.442        0.159    -0.000     0.000
 2013 12  4  3 35    7.453143  2  5          -0.181     0.266           0.000    -3006434.104    -3006434.285       -0.181    -0.000     0.000
 2013 12  4  3 35   12.453139  2  5          -0.145     0.254           0.000    -3006748.482    -3006748.627       -0.145    -0.000     0.000
 2013 12  4  3 35   17.453134  2  5          -0.059     0.261           0.000    -3007062.516    -3007062.575       -0.059    -0.000     0.000
 2013 12  4  3 35   22.453129  2  5          -0.408     0.267           0.000    -3007376.238    -3007376.646       -0.409    -0.000     0.000
 2013 12  4  3 35   27.453125  2  5          -0.277     0.284           0.000    -3007689.701    -3007689.978       -0.278    -0.000     0.000
 2013 12  4  3 35   32.453120  2  5          -0.480     0.323           0.000    -3008002.850    -3008003.331       -0.481    -0.000     0.000
 2013 12  4  3 35   37.453116  2  5          -0.443     0.280           0.000    -3008315.933    -3008316.376       -0.444    -0.000     0.000
 2013 12  4  3 35   42.453111  2  5          -0.464     0.320           0.000    -3008628.520    -3008628.984       -0.465    -0.000     0.000
 2013 12  4  3 35   47.453106  2  5          -0.227     0.304           0.000    -3008941.015    -3008941.242       -0.228    -0.000     0.000
 2013 12  4  3 35   52.453102  2  5          -0.336     0.274           0.000    -3009253.043    -3009253.379       -0.337    -0.000     0.000
 2013 12  4  3 35   57.453097  2  5          -0.161     0.273           0.000    -3009564.933    -3009565.094       -0.162    -0.000     0.000
 2013 12  4  3 36    2.453093  2  5          -0.173     0.290           0.000    -3009876.381    -3009876.554       -0.174    -0.000     0.000
 2013 12  4  3 36    7.453088  2  5          -0.447     0.254           0.000    -3010187.471    -3010187.918       -0.447    -0.000     0.000
 2013 12  4  3 36   12.453083  2  5          -0.035     0.300           0.000    -3010498.772    -3010498.807       -0.036    -0.000     0.000
 2013 12  4  3 36   17.453079  2  5          -0.233     0.314           0.000    -3010809.323    -3010809.556       -0.233    -0.000     0.000
 2013 12  4  3 36   22.453074  2  5          -0.199     0.277           0.000    -3011119.787    -3011119.986       -0.200    -0.000     0.000
 2013 12  4  3 36   27.453070  2  5          -0.079     0.295           0.000    -3011429.932    -3011430.011       -0.079    -0.000     0.000
 2013 12  4  3 36   32.453065  2  5          -0.343     0.281           0.000    -3011739.537    -3011739.880       -0.344    -0.000     0.000
 2013 12  4  3 36   37.453061  2  5          -0.182     0.260           0.000    -3012049.239    -3012049.421       -0.182    -0.000     0.000
 2013 12  4  3 36   42.453056  2  5          -0.141     0.278           0.000    -3012358.490    -3012358.632       -0.142    -0.000     0.000
 2013 12  4  3 36   47.453051  2  5          -0.095     0.264           0.000    -3012667.578    -3012667.673       -0.095    -0.000     0.000
 2013 12  4  3 36   52.453047  2  5          -0.103     0.229           0.000    -3012976.267    -3012976.370       -0.103    -0.000     0.000
 2013 12  4  3 36   57.453042  2  5          -0.087     0.234           0.000    -3013284.796    -3013284.883       -0.087    -0.000     0.000
 2013 12  4  3 37    2.453038  2  5          -0.261     0.244           0.000    -3013592.760    -3013593.021       -0.262    -0.000     0.000
 2013 12  4  3 37    7.453033  2  5          -0.164     0.233           0.000    -3013900.823    -3013900.988       -0.165    -0.000     0.000
 2013 12  4  3 37   12.453029  2  5          -0.057     0.249           0.000    -3014208.468    -3014208.525       -0.057    -0.000     0.000
 2013 12  4  3 37   17.453024  2  5          -0.188     0.256           0.000    -3014515.665    -3014515.853       -0.189    -0.000     0.000
 2013 12  4  3 37   22.453019  2  5          -0.239     0.261           0.000    -3014822.748    -3014822.987       -0.240    -0.000     0.000
 2013 12  4  3 37   27.453015  2  5          -0.167     0.283           0.000    -3015129.645    -3015129.812       -0.168    -0.000     0.000
 2013 12  4  3 37   32.453010  2  5          -0.340     0.273           0.000    -3015436.024    -3015436.364       -0.340    -0.000     0.000
