 2013 12  4  3 30   12.453417  2  5           0.000     0.767           0.000      -66175.209           0.000       -2.476     0.068     5.537
 2013 12  4  3 30   17.453412  2  5          -0.438     1.093           0.000      -66117.665      -66118.103       -0.437     0.000     0.000
 2013 12  4  3 30   22.453407  2  5           0.229     0.354           0.000      -66063.531      -66063.301        0.230     0.000     0.000
 2013 12  4  3 30   27.453403  2  5          -0.240     0.607           0.000      -66007.826      -66008.066       -0.239     0.000     0.000
 2013 12  4  3 30   32.453398  2  5           0.000     0.207           0.000      -65950.250           0.000        1.200     0.067     5.482
 2013 12  4  3 30   37.453393  2  5           0.000     0.436           0.000      -65897.628           0.000       -1.473     0.067     5.468
 2013 12  4  3 30   42.453389  2  5           0.000     0.572           0.000      -65841.034           0.000       -0.166     0.067     5.455
 2013 12  4  3 30   47.453384  2  5           0.000     0.373           0.000      -65786.889           0.000       -1.299     0.067     5.441
 2013 12  4  3 30   52.453379  2  5          -0.077     0.513           0.000      -65729.025      -65729.102       -0.077     0.000     0.000
 2013 12  4  3 30   57.453375  2  5          -0.542     0.437           0.000      -65674.600      -65675.142       -0.541     0.000     0.000
 2013 12  4  3 31    2.453370  2  5          -0.306     0.167           0.000      -65619.772      -65620.078       -0.306     0.000     0.000
 2013 12  4  3 31    7.453365  2  5           0.113     0.428           0.000      -65566.169      -65566.055        0.114     0.000     0.000
 2013 12  4  3 31   12.453361  2  5           0.116     0.253           0.000      -65509.509      -65509.394        0.116     0.000     0.000
 2013 12  4  3 31   17.453356  2  5           0.286     0.527           0.000      -65452.706      -65452.420        0.286     0.000     0.000
 2013 12  4  3 31   22.453351  2  5           0.027     1.031           0.000      -65398.719      -65398.692        0.028     0.000     0.000
 2013 12  4  3 31   27.453347  2  5          -0.127     0.205           0.000      -65343.059      -65343.186       -0.127     0.000     0.000
 2013 12  4  3 31   32.453342  2  5          -0.173     0.848           0.000      -65288.921      -65289.094       -0.173     0.000     0.000
 2013 12  4  3 31   37.453337  2  5          -0.050     0.587           0.000      -65232.913      -65232.963       -0.049     0.000     0.000
 2013 12  4  3 31   42.453333  2  5          -0.163     0.577           0.000      -65174.248      -65174.412       -0.163     0.000     0.000
 2013 12  4  3 31   47.453328  2  5          -0.074     0.554           0.000      -65120.937      -65121.011       -0.074     0.000     0.000
 2013 12  4  3 31   52.453324  2  5           0.154     0.493           0.000      -65066.385      -65066.230        0.154     0.000     0.000
 2013 12  4  3 31   57.453319  2  5          -0.280     0.576           0.000      -65009.069      -65009.349       -0.279     0.000     0.000
 2013 12  4  3 32    2.453314  2  5          -0.079     0.378           0.000      -64954.573      -64954.652       -0.079     0.000     0.000
 2013 12  4  3 32    7.453310  2  5          -0.100     0.755           0.000      -64898.839      -64898.939       -0.100     0.000     0.000
 2013 12  4  3 32   12.453305  2  5          -0.090     0.740           0.000      -64841.929      -64842.019       -0.089     0.000     0.000
 2013 12  4  3 32   17.453300  2  5          -0.142     0.648           0.000      -64788.351      -64788.494       -0.142     0.000     0.000
 2013 12  4  3 32   22.453296  2  5           0.063     0.485           0.000      -64730.432      -64730.368        0.064     0.000     0.000
 2013 12  4  3 32   27.453291  2  5          -0.173     0.201           0.000      -64676.311      -64676.484       -0.172     0.000     0.000
